,Property_ID,Prop_Type,Tax_Key,Address,District_Num,Nbhd_Num,Style,Unit_Count,Fbath_Count,Hbath_Count,Lot_Size,Sale_Date,Sale_Price,Ext_Wall,Story_Count,Year_Built,Room_Count,Finished_Sqft,Bdrm_Count,Condo_Project
5695,228522,Residential,5040313000,3005 S HANSON AV,14,4500,Res O/S 2sty +,1,1,0,2205,2022-01-07,210000.0,Aluminum/Vinyl,2.0,1925.0,7.0,1352.0,4.0,
5696,228550,Residential,5040406000,1306 E PRYOR AV,14,4500,Res O/S A & 1/2,1,1,0,4560,2022-02-18,215000.0,Aluminum/Vinyl,1.5,1908.0,12.0,1082.0,6.0,
5697,228563,Residential,5040421000,1106 E PRYOR AV,14,4500,Duplex O/S,2,2,0,6320,2022-01-28,305000.0,Aluminum/Vinyl,1.5,1898.0,11.0,2343.0,5.0,
5698,228577,Residential,5040436000,1325 E PRYOR AV,14,4500,Res O/S A & 1/2,1,2,0,4000,2022-03-11,385000.0,Stucco,1.5,1912.0,12.0,1336.0,6.0,
5699,228587,Residential,5040448000,2804 S KINNICKINNIC AV,14,4500,Dplx Bungalow,2,2,0,5208,2022-07-25,277500.0,Stucco,2.0,1922.0,10.0,1908.0,4.0,
5700,228591,Residential,5040452000,2823 S CLEMENT AV,14,4500,Duplex O/S,2,2,0,4020,2022-09-07,310000.0,Aluminum/Vinyl,1.5,1908.0,10.0,2004.0,4.0,
5701,228597,Residential,5040458000,1132 E DAKOTA ST,14,4500,Duplex O/S,2,2,0,2320,2022-09-07,254000.0,Aluminum/Vinyl,1.5,1912.0,8.0,1588.0,2.0,
5702,228600,Residential,5040461000,2846-2848 S HERMAN ST,14,4500,Duplex O/S,2,2,0,5360,2022-09-22,440000.0,Aluminum/Vinyl,2.0,1905.0,12.0,2334.0,6.0,
5704,228623,Residential,5040486000,2800-2802 S CLEMENT AV,14,4500,Dplx Bungalow,2,2,0,3000,2022-02-23,299900.0,Asphalt/Other,2.0,1921.0,10.0,1918.0,4.0,
5705,228686,Residential,5040624000,2753 S HERMAN ST,14,4500,Duplex O/S,2,2,0,6450,2022-09-02,335000.0,Aluminum/Vinyl,1.5,1894.0,9.0,1708.0,4.0,
5706,228704,Residential,5040644000,2744 S LENOX ST,14,4500,Res O/S 2sty +,1,1,1,3870,2022-07-18,256500.0,Aluminum/Vinyl,2.0,1921.0,6.0,1416.0,2.0,
5707,228705,Residential,5040645000,2746 S LENOX ST,14,4500,Res O/S A & 1/2,1,1,0,3870,2022-06-06,272500.0,Wood,1.5,1916.0,7.0,1522.0,4.0,
5708,228731,Residential,5040671000,2827 S LENOX ST,14,4500,Res O/S A & 1/2,1,1,1,5000,2022-12-22,290000.0,Aluminum/Vinyl,1.5,1924.0,7.0,1418.0,4.0,
5709,228781,Residential,5040722000,2839-2841 S HERMAN ST,14,4500,Duplex O/S,2,2,0,3870,2022-06-24,309900.0,Aluminum/Vinyl,2.0,1915.0,12.0,2594.0,6.0,
5710,228789,Residential,5040730000,2840-2842 S LOGAN AV,14,4500,Duplex O/S,2,2,0,3870,2022-04-06,220000.0,Aluminum/Vinyl,2.0,1910.0,10.0,2274.0,4.0,
5711,228797,Residential,5040738000,2810 S LOGAN AV,14,4500,Res O/S 2sty +,1,1,0,3870,2022-08-25,355000.0,Aluminum/Vinyl,2.0,1907.0,7.0,1977.0,3.0,
5712,228842,Residential,5040782000,907 E DAKOTA ST,14,4500,Res O/S 2sty +,1,1,2,3515,2022-07-01,335000.0,Aluminum/Vinyl,2.0,1915.0,6.0,1696.0,3.0,
